Name,Yield
From Cutflow bin 8
Data_hist,479127.0
ZTT,185712.015625
ZLL,9863.353515625
Fake,200157.984375
TT,44565.02734375
ggh,3862.9921875
VV,14159.4306640625
"From tau charge, integral, with mT cut"
Data_hist,261613.0
ZTT,153886.5234375
ZLL,4658.62158203125
Fake,79070.30078125
TT,12025.34130859375
ggh,2253.740234375
VV,3865.377197265625
"From tau charge, integral, with mT cut"
Data_hist,261613.0
ZTT,153886.5234375
ZLL,4658.62158203125
Fake,79070.30078125
TT,12025.34130859375
ggh,2253.740234375
VV,3865.377197265625
From Cutflow bin 8
Data_hist,479127.0
ZTT,185712.015625
ZLL,9863.353515625
Fake,200157.984375
TT,44565.02734375
ggh,3862.9921875
VV,14159.4306640625
From Cutflow bin 8
Data_hist,105093.0
ZTT,32426.001953125
Fake,233684.234375
TT,1640.3858642578125
ggh,948.3404541015625
VV,665.2445678710938
From Cutflow bin 8
Data_hist,105093.0
ZTT,32426.001953125
Fake,233684.234375
TT,1640.3858642578125
ggh,948.3404541015625
VV,665.2445678710938
From Cutflow bin 8
Data_hist,105093.0
ZTT,34661.46875
Fake,83108.171875
TT,1640.3858642578125
ggh,948.3404541015625
VV,665.2445678710938
From Cutflow bin 8
Data_hist,105093.0
ZTT,34661.46875
Fake,83108.171875
TT,1640.3858642578125
ggh,948.3404541015625
VV,665.2445678710938
From Cutflow bin 8
Data_hist,105093.0
ZTT,34661.46875
Fake,83108.171875
TT,1640.3858642578125
ggh,948.3404541015625
VV,665.2445678710938
From Cutflow bin 8
Data_hist,90175.0
ZTT,31600.04296875
Fake,2864730.25
TT,1442.132568359375
ggh,852.0466918945312
VV,572.1369018554688
From Cutflow bin 8
Data_hist,90175.0
ZTT,31600.04296875
Fake,2864730.25
TT,1442.132568359375
ggh,852.0466918945312
VV,572.1369018554688
From Cutflow bin 8
Data_hist,90175.0
ZTT,31600.04296875
Fake,2864730.25
TT,1442.132568359375
ggh,852.0466918945312
VV,572.1369018554688
From Cutflow bin 8
Data_hist,99017.0
ZTT,33992.8984375
Fake,3295289.5
TT,1489.43212890625
ggh,892.6553955078125
VV,590.3135375976562
