event	lumi	run	ele pt	tau pt	met	taudm	tauGM
1962431	866	1	31.1362	40.4597	23.6418	1	5
1967816	869	1	130.438	31.0085	111.001	0	5
1968240	869	1	24.3969	35.3501	9.69165	0	5
2017728	891	1	34.5003	30.18	28.533	10	5
2024942	894	1	32.3476	46.9428	41.7976	10	5
1975537	872	1	32.6335	38.1369	30.9257	0	5
1976450	872	1	43.777	39.5309	15.0724	1	5
2028859	895	1	33.5255	73.0995	119.368	1	5
9038280	3988	1	29.2653	34.1431	23.6822	1	5
2033933	898	1	32.6152	31.463	14.2684	1	5
2174509	960	1	30.4358	37.1084	13.7533	0	5
2179110	962	1	26.6509	35.6756	36.517	1	5
60093009	26510	1	27.8249	40.7649	25.1934	1	5
60093925	26510	1	30.0993	43.5511	64.3363	0	5
60100542	26513	1	70.9139	45.9727	78.7296	0	5
76630069	33805	1	30.6722	41.1981	20.2768	11	5
76631091	33805	1	28.2387	33.9235	84.2575	0	5
25873325	11414	1	31.5639	34.3007	15.2894	1	5
66794709	29466	1	35.4384	33.3434	24.5725	1	5
66984015	29550	1	30.4483	35.083	35.5829	1	5
3869034	1707	1	33.6502	50.1316	17.2882	10	5
83591	37	1	30.1984	34.3161	27.9141	1	5
22136033	9766	1	31.4484	30.256	6.01892	1	5
22137384	9766	1	31.2512	37.6556	41.4513	11	5
22138278	9767	1	28.7774	43.5486	73.7846	0	5
22140985	9768	1	28.7982	32.4101	26.3187	1	5
22148229	9771	1	41.5619	33.8195	15.6833	1	5
551314	244	1	32.4557	35.374	24.0651	10	5
8724310	3849	1	34.4616	32.0505	5.7845	1	5
66775877	29458	1	27.3222	37.5337	18.2151	1	5
66778064	29459	1	38.0378	35.8163	20.6973	0	5
66778514	29459	1	29.6211	30.4221	36.7721	1	5
66783957	29462	1	37.0538	39.8327	1.76421	1	5
66786969	29463	1	25.4475	42.3793	21.9887	1	5
66787537	29463	1	29.9555	31.9454	12.3101	10	5
66788435	29464	1	52.282	43.7724	61.3561	1	5
717670	317	1	60.621	61.049	16.7977	1	5
717675	317	1	32.2769	31.9922	40.3235	1	5
726778	321	1	28.3331	32.8833	7.77067	1	5
729472	322	1	35.22	32.4248	66.862	1	5
6618453	2920	1	31.6923	36.3276	28.89	1	5
6630363	2925	1	32.4875	34.166	20.5902	11	5
6620027	2921	1	39.3033	30.3434	35.0093	1	5
21755063	9598	1	47.7566	34.7728	39.0542	1	5
6675021	2945	1	33.3565	33.2452	18.0734	10	5
9013203	3977	1	34.848	39.7431	15.4546	10	5
9014134	3977	1	31.4612	33.8439	9.4543	10	5
11314971	4992	1	25.5473	37.2457	35.3923	10	5
11315239	4992	1	25.8069	40.701	10.9519	1	5
