Name,Yield
From Cutflow bin 8
Data_hist,663698.0
ZTT,268663.28125
ZLL,17377.623046875
Fake,273458.75
TT,55386.015625
ggh,5488.54931640625
VV,19565.287109375
"From tau charge, integral, with mT cut"
Data_hist,370698.0
ZTT,227100.0859375
ZLL,8435.788818359375
Fake,107900.88671875
TT,15891.61181640625
ggh,3186.4791259765625
VV,5479.0341796875
From Cutflow bin 8
Data_hist,663698.0
ZTT,268663.28125
ZLL,17377.623046875
Fake,273458.75
TT,55386.015625
ggh,5488.54931640625
VV,19565.287109375
"From tau charge, integral, with mT cut"
Data_hist,370698.0
ZTT,227100.0859375
ZLL,8435.788818359375
Fake,107900.88671875
TT,15891.61181640625
ggh,3186.4791259765625
VV,5479.0341796875
From Cutflow bin 8
Data_hist,663698.0
ZTT,268663.28125
ZLL,17377.623046875
Fake,273458.75
TT,55386.015625
ggh,5488.54931640625
VV,19565.287109375
