event	lumi	run	ele pt	tau pt	met	taudm	tauGM
129758	58	1	34.9059	41.5649	4.6792	10	5
81376360	35899	1	38.5313	38.4016	12.7076	1	5
81376565	35899	1	26.9955	39.4161	31.2032	1	5
795394	351	1	36.6636	66.5258	7.48469	10	5
90024715	39714	1	30.977	34.264	90.4066	1	5
6665638	2941	1	28.5626	31.2532	16.3197	10	5
805652	356	1	32.4918	48.6621	27.2948	1	5
941245	416	1	44.3985	43.4042	5.90849	1	5
943242	417	1	33.34	33.0194	90.82	0	5
945447	418	1	25.376	39.741	25.8912	10	5
940212	415	1	33.0928	44.166	20.7808	1	5
21058729	9290	1	37.3165	44.2062	47.9332	1	5
14114012	6227	1	44.7066	30.4958	36.412	1	5
19981930	8815	1	29.067	36.0078	28.0401	1	5
1019934	450	1	30.7073	38.913	32.2358	1	5
13052655	5759	1	34.5046	42.6426	19.4982	1	1
20298600	8955	1	53.6823	55.2666	167.649	1	5
20300792	8956	1	41.7208	54.8227	68.0728	11	5
20303644	8957	1	32.2661	37.0382	20.0625	10	5
13549474	5978	1	31.1896	41.1627	50.7146	10	5
19262370	8498	1	30.3875	37.3291	28.3486	11	5
829569	366	1	30.6523	37.4133	67.0339	10	5
13576294	5990	1	35.1109	34.5981	5.80951	1	5
13576847	5990	1	29.8025	43.4803	28.5615	1	1
21745039	9593	1	40.8639	31.7159	15.0789	1	5
21746616	9594	1	52.2391	44.7819	17.9105	1	5
28728828	12674	1	30.8628	40.8405	46.1197	1	5
28731563	12675	1	31.414	37.3808	22.6134	1	5
28734026	12676	1	29.7681	36.5069	18.8271	0	5
135486	60	1	28.374	31.767	25.4286	1	5
140100	62	1	27.0846	35.7526	6.13786	10	5
3640485	1606	1	40.3821	73.9411	48.1742	1	5
3641484	1607	1	37.0713	32.0916	34.9644	1	5
3643520	1608	1	37.3531	36.4468	7.23451	10	5
3644106	1608	1	34.9945	35.3524	43.4945	11	5
18304243	8075	1	25.6056	34.9851	5.06672	1	5
45088924	19891	1	29.3532	35.8616	44.6871	1	5
45091417	19892	1	28.2082	59.2764	51.5921	10	5
45094673	19894	1	28.3927	46.8053	32.2055	1	5
45096777	19894	1	36.7994	47.2161	26.9743	10	5
13787402	6083	1	30.4166	30.6065	27.8655	1	5
1017397	449	1	41.4659	41.1681	8.2898	1	1
1023087	452	1	28.0784	30.1228	6.54781	1	5
878508	388	1	37.9688	41.9586	18.9803	1	5
887874	392	1	44.8758	62.9756	59.9701	1	5
904927	400	1	38.7462	32.9685	35.9364	10	5
29158738	12864	1	37.4559	39.3194	6.39353	1	5
909482	402	1	35.568	30.7823	15.0258	1	5
909964	402	1	34.3981	60.3875	59.1534	1	1
1493904	660	1	48.4314	44.2161	65.794	10	5
1495706	660	1	28.8697	33.9252	5.3394	1	5
929043	410	1	30.2189	30.6314	72.353	1	5
929165	410	1	38.9881	36.075	4.48468	1	5
969848	428	1	28.873	44.8658	48.4555	1	5
29072606	12826	1	42.4286	35.0657	11.0901	0	5
934332	413	1	39.0885	33.3435	17.1652	10	5
978676	432	1	30.0861	37.9566	21.7769	1	5
980223	433	1	45.9586	53.1881	77.455	10	5
989874	437	1	37.9463	41.1829	88.3169	10	5
998877	441	1	30.6392	39.9318	23.9709	10	5
29746556	13123	1	28.4036	31.9366	13.4645	1	5
29746650	13123	1	31.8242	34.0892	14.5958	11	5
30330179	13380	1	31.6807	30.8658	46.5084	1	5
29154361	12862	1	33.9248	39.7961	83.3109	11	5
976154	431	1	35.205	41.4119	42.7239	10	5
12611555	5564	1	58.7523	86.6035	13.3206	1	5
28123991	12407	1	38.9347	36.5732	16.1941	1	5
178231	79	1	29.7689	36.4595	5.84257	10	5
178647	79	1	30.9657	65.6755	64.4205	10	5
3647613	1610	1	33.1894	71.828	98.4387	1	1
3648736	1610	1	28.7064	37.0769	74.4171	0	5
1270867	561	1	32.4046	46.7727	1.57257	10	5
24595967	10851	1	30.7154	31.1816	18.5093	1	1
63833741	28160	1	33.9476	33.5203	44.9623	10	5
897676	396	1	41.5064	45.371	3.94394	11	5
3975566	1754	1	48.0749	44.3665	16.821	0	1
24599077	10852	1	58.1056	31.6832	93.2394	10	5
63628679	28070	1	29.9115	41.4443	21.5104	1	5
12203001	5384	1	57.4645	34.3847	44.5747	1	5
21567375	9515	1	29.7106	49.0205	40.8732	10	5
1907945	842	1	25.1944	47.3458	23.7563	1	5
1909123	843	1	35.9727	45.2947	45.7131	11	5
19358493	8540	1	32.6865	39.2919	77.9587	1	5
63564569	28041	1	29.8964	34.705	31.9741	10	5
63566641	28042	1	30.9659	41.5211	44.8355	1	5
898539	397	1	33.5007	36.6363	19.4378	10	5
20617769	9096	1	34.1452	36.5343	34.0409	10	5
20620484	9097	1	29.7541	68.4326	122.2	10	5
20622114	9098	1	25.9695	35.8362	10.7472	1	5
20622979	9098	1	25.0933	37.3865	93.2116	1	5
20627037	9100	1	29.4598	33.118	39.7985	1	5
