event	lumi	run	ele pt	tau pt	met	taudm	tauGM
10978243	4843	1	32.4862	36.8989	39.9269	11	5
3744468	1652	1	25.6948	40.4918	24.3862	11	5
11456503	5054	1	41.3862	34.2979	15.0281	1	5
11561218	5101	1	32.1105	190.982	187.413	1	5
11561530	5101	1	30.4286	32.2447	26.2498	1	5
11561628	5101	1	44.1393	30.516	7.83234	10	5
11577506	5108	1	32.5804	39.6444	41.0787	1	5
11590555	5114	1	25.0191	58.4236	16.2934	10	5
11594437	5115	1	35.7792	36.1126	17.6762	0	5
11595813	5116	1	31.5632	30.5965	15.5397	11	5
49013562	21622	1	39.6026	58.5873	87.6346	0	1
49021178	21626	1	36.3974	37.4785	6.20025	11	5
52974765	23370	1	30.4573	38.2241	41.7497	11	5
52975573	23370	1	33.8456	40.9167	67.3645	1	5
52977352	23371	1	25.4242	71.3393	54.0346	1	5
52982067	23373	1	31.4511	32.7229	41.6928	11	5
40175708	17724	1	34.747	37.498	35.4626	0	5
45691853	20157	1	34.8433	45.6407	29.4921	0	6
40809113	18003	1	43.5014	58.5369	52.8911	1	5
40809982	18003	1	29.5267	36.1255	27.0767	10	5
40815460	18006	1	28.0198	39.5915	60.4401	1	5
40818339	18007	1	38.6622	34.9834	11.9439	1	5
40819277	18007	1	27.1345	45.9682	43.6387	0	5
40826496	18011	1	32.0248	31.1972	14.2388	11	5
40837297	18015	1	62.3363	69.9783	81.9095	11	5
45558154	20098	1	32.8176	30.1035	38.9708	1	5
45559123	20098	1	40.3118	37.1437	21.9359	1	1
99946837	44091	1	28.3629	42.8639	51.2818	11	5
99952331	44093	1	31.6466	36.7403	18.4943	11	5
101290670	44684	1	99.4479	143.476	124.616	11	5
109875900	48471	1	35.4457	37.3399	8.58461	1	5
109883026	48474	1	31.9089	38.4965	0.6792	10	5
109883252	48474	1	30.2417	32.691	54.826	10	5
110720420	48844	1	31.2565	35.1104	10.2945	10	5
110729439	48848	1	28.9898	36.111	59.0676	1	5
110431417	48716	1	30.6148	46.2971	28.308	10	5
