Name,Yield
"From tau charge, integral, with mT cut"
Data_hist,77640.0
ZTT,44586.1015625
ZLL,1782.2486572265625
Fake,23577.7607421875
TT,4973.0166015625
ggh,878.9801330566406
VV,1204.9104614257812
"From tau charge, integral, with mT cut"
Data_hist,77640.0
ZTT,44586.1015625
ZLL,1782.2486572265625
Fake,23577.7607421875
TT,4973.0166015625
ggh,878.9801330566406
VV,1204.9104614257812
"From tau charge, integral, with mT cut"
Data_hist,77640.0
ZTT,27271.0380859375
ZLL,1761.747314453125
Fake,24122.6923828125
TT,4410.586669921875
ggh,683.3734436035156
VV,1051.2925415039062
"From tau charge, integral, with mT cut"
Data_hist,77640.0
ZTT,27271.0380859375
ZLL,1761.747314453125
Fake,24122.6923828125
TT,4410.586669921875
ggh,683.3734436035156
VV,1051.2925415039062
"From tau charge, integral, with mT cut"
Data_hist,77640.0
ZTT,27271.0380859375
ZLL,1761.747314453125
Fake,24122.6923828125
TT,4410.586669921875
ggh,683.3734436035156
VV,1051.2925415039062
"From tau charge, integral, with mT cut"
Data_hist,60375.0
ZTT,27271.0380859375
ZLL,1761.747314453125
Fake,22229.9912109375
TT,4410.586669921875
ggh,683.3734436035156
VV,1051.2925415039062
"From tau charge, integral, with mT cut"
Data_hist,60375.0
ZTT,27535.052734375
ZLL,1798.7847900390625
Fake,22216.71875
TT,4410.586669921875
ggh,683.3734436035156
VV,1051.2925415039062
From Cutflow bin 8
Data_hist,152726.0
ZTT,37401.8359375
ZLL,3854.515625
Fake,67886.8359375
TT,17315.298828125
ggh,1364.132568359375
VV,4325.0927734375
"From tau charge, integral, with mT cut"
Data_hist,77640.0
ZTT,44979.173828125
ZLL,1819.4381103515625
Fake,23561.4580078125
TT,4973.0166015625
ggh,878.9801330566406
VV,1204.9104614257812
From Cutflow bin 8
Data_hist,177303.0
ZTT,57759.625
ZLL,3882.15966796875
Fake,70828.4375
TT,18841.54296875
ggh,1632.52783203125
VV,4700.0556640625
"From tau charge, integral, with mT cut"
Data_hist,61703.0
ZTT,38519.083984375
ZLL,2742.13134765625
Fake,22152.333984375
TT,6448.458251953125
ggh,980.1802368164062
VV,1537.1968994140625
From Cutflow bin 8
Data_hist,155791.0
ZTT,52426.1796875
ZLL,5851.666015625
Fake,67585.3515625
TT,25174.97265625
ggh,1976.1693115234375
VV,6292.05078125
"From tau charge, integral, with mT cut"
Data_hist,79197.0
ZTT,61155.32421875
ZLL,2817.2227783203125
Fake,23446.9658203125
TT,7161.953125
ggh,1225.0560302734375
VV,1730.7931518554688
From Cutflow bin 8
Data_hist,180704.0
ZTT,78892.1953125
ZLL,6020.9453125
Fake,70461.46875
TT,27111.876953125
ggh,2312.02294921875
VV,6767.30224609375
"From tau charge, integral, with mT cut"
Data_hist,79197.0
ZTT,61155.32421875
ZLL,2817.2227783203125
Fake,23446.9658203125
TT,7161.953125
ggh,1225.0560302734375
VV,1730.7931518554688
From Cutflow bin 8
Data_hist,180704.0
ZTT,78892.1953125
ZLL,6020.9453125
Fake,70461.46875
TT,27111.876953125
ggh,2312.02294921875
VV,6767.30224609375
"From tau charge, integral, with mT cut"
Data_hist,79197.0
ZTT,60491.669921875
ZLL,2750.8143310546875
Fake,23472.23046875
TT,7161.953125
ggh,1225.0560302734375
VV,1730.7931518554688
From Cutflow bin 8
Data_hist,180704.0
ZTT,78017.1484375
ZLL,5880.244140625
Fake,70495.7734375
TT,27111.876953125
ggh,2312.02294921875
VV,6767.30224609375
"From tau charge, integral, with mT cut"
Data_hist,79197.0
ZTT,79634.625
ZLL,2705.236083984375
Fake,17570.783203125
TT,7112.576904296875
ggh,1194.3483276367188
VV,2259.4696044921875
From Cutflow bin 8
Data_hist,180704.0
ZTT,113489.171875
ZLL,5865.42041015625
Fake,57587.35546875
TT,27001.94140625
ggh,2298.736328125
VV,8997.5048828125
"From tau charge, integral, with mT cut"
Data_hist,79197.0
ZTT,56762.123046875
ZLL,2682.2852783203125
Fake,23495.2509765625
TT,7112.576904296875
ggh,1194.3483276367188
VV,2259.4696044921875
From Cutflow bin 8
Data_hist,180704.0
ZTT,74632.4375
ZLL,5822.13330078125
Fake,70323.1484375
TT,27001.94140625
ggh,2298.736328125
VV,8997.5048828125
"From tau charge, integral, with mT cut"
Data_hist,79197.0
ZTT,56762.123046875
ZLL,2682.2852783203125
Fake,23495.2509765625
TT,7112.576904296875
ggh,1194.3483276367188
VV,2259.4696044921875
From Cutflow bin 8
Data_hist,180704.0
ZTT,74632.4375
ZLL,5822.13330078125
Fake,70323.1484375
TT,27001.94140625
ggh,2298.736328125
VV,8997.5048828125
"From tau charge, integral, with mT cut"
Data_hist,79197.0
ZTT,56762.123046875
ZLL,2682.2852783203125
Fake,23495.2509765625
TT,7112.576904296875
ggh,1194.3483276367188
VV,2259.4696044921875
From Cutflow bin 8
Data_hist,180704.0
ZTT,74632.4375
ZLL,5822.13330078125
Fake,70323.1484375
TT,27001.94140625
ggh,2298.736328125
VV,8997.5048828125
"From tau charge, integral, with mT cut"
Data_hist,81707.0
ZTT,43619.916015625
ZLL,1901.3255004882812
Fake,25449.7314453125
TT,5070.84521484375
ggh,879.0286560058594
VV,1611.8518676757812
From Cutflow bin 8
Data_hist,185778.0
ZTT,57241.49609375
ZLL,4139.2431640625
Fake,74993.9921875
TT,19269.73046875
ggh,1664.310302734375
VV,6396.73779296875
From Cutflow bin 8
Data_hist,185778.0
ZTT,57241.49609375
ZLL,4139.2431640625
Fake,74993.9921875
TT,19269.73046875
ggh,1664.310302734375
VV,6396.73779296875
From Cutflow bin 8
Data_hist,185778.0
ZTT,57241.49609375
ZLL,4139.2431640625
Fake,74993.9921875
TT,19269.73046875
ggh,1664.310302734375
VV,6396.73779296875
From Cutflow bin 8
Data_hist,185778.0
ZTT,57241.49609375
ZLL,4139.2431640625
Fake,74993.9921875
TT,19269.73046875
ggh,1664.310302734375
VV,6396.73779296875
"From tau charge, integral, with mT cut"
Data_hist,81707.0
ZTT,43619.916015625
ZLL,1901.3255004882812
Fake,25449.7314453125
TT,5070.84521484375
ggh,879.0286560058594
VV,1611.8518676757812
From Cutflow bin 8
Data_hist,185778.0
ZTT,57241.49609375
ZLL,4139.2431640625
Fake,74993.9921875
TT,19269.73046875
ggh,1664.310302734375
VV,6396.73779296875
"From tau charge, integral, with mT cut"
Data_hist,81707.0
ZTT,43619.916015625
ZLL,1901.3255004882812
Fake,25449.7314453125
TT,5070.84521484375
ggh,879.0286560058594
VV,1611.8518676757812
From Cutflow bin 8
Data_hist,185778.0
ZTT,57241.49609375
ZLL,4139.2431640625
Fake,74993.9921875
TT,19269.73046875
ggh,1664.310302734375
VV,6396.73779296875
From Cutflow bin 8
Data_hist,185778.0
ZTT,57241.49609375
ZLL,4139.2431640625
Fake,74993.9921875
TT,19269.73046875
ggh,1664.310302734375
VV,6396.73779296875
From Cutflow bin 8
Data_hist,185778.0
ZTT,57241.49609375
ZLL,4139.2431640625
Fake,74993.9921875
TT,19269.73046875
ggh,1664.310302734375
VV,6396.73779296875
"From tau charge, integral, with mT cut"
Data_hist,81707.0
ZTT,43619.916015625
ZLL,1901.3255004882812
Fake,25449.7314453125
TT,5070.84521484375
ggh,879.0286560058594
VV,1611.8518676757812
From Cutflow bin 8
Data_hist,185778.0
ZTT,57241.49609375
ZLL,4139.2431640625
Fake,74993.9921875
TT,19269.73046875
ggh,1664.310302734375
VV,6396.73779296875
"From tau charge, integral, with mT cut"
Data_hist,81707.0
ZTT,46407.556640625
ZLL,1941.0845947265625
Fake,25431.2744140625
TT,5095.521728515625
ggh,901.9212951660156
VV,1232.431884765625
From Cutflow bin 8
Data_hist,185778.0
ZTT,59739.5
ZLL,4148.4990234375
Fake,75137.265625
TT,19316.0078125
ggh,1671.798828125
VV,4794.876953125
"From tau charge, integral, with mT cut"
Data_hist,81707.0
ZTT,46407.556640625
ZLL,1941.0845947265625
Fake,25431.2744140625
TT,5095.521728515625
ggh,901.9212951660156
VV,1232.431884765625
From Cutflow bin 8
Data_hist,185778.0
ZTT,59739.5
ZLL,4148.4990234375
Fake,75137.265625
TT,19316.0078125
ggh,1671.798828125
VV,4794.876953125
"From tau charge, integral, with mT cut"
Data_hist,80100.0
ZTT,46238.63671875
ZLL,1914.6192016601562
Fake,24539.140625
TT,5072.63134765625
ggh,898.1858520507812
VV,1226.0020751953125
From Cutflow bin 8
Data_hist,182271.0
ZTT,59493.7890625
ZLL,4094.97998046875
Fake,73039.90625
TT,19230.3515625
ggh,1664.5582275390625
VV,4771.212890625
"From tau charge, integral, with mT cut"
Data_hist,89546.0
ZTT,56933.5078125
ZLL,2017.7540283203125
Fake,26784.56640625
TT,5303.574951171875
ggh,988.1536560058594
VV,1307.08203125
From Cutflow bin 8
Data_hist,197157.0
ZTT,72819.78125
